customer_id,customer_name,gender,senior_citizen,partner,dependents,tenure,contract,paperless_billing,payment_method,monthly_charges,total_charges,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
CUST0001,John doe,male,0,yes,no,64,month to month,yes,electronic check,67.59,1000.5,no,no,dsl,,,,,,,yes
CUST0002,Lauren Vaughan,female,1,,,25,month to month,yes,,67.59,1000.5,no,,none,,yes,,,,,
CUST0003,Mrs. Elizabeth Turner DDS,male,1,,no,61,one year,no,electronic check,67.59,1000.5,,no,none,,,no,,,no,
CUST0004,Tiffany Johnson,female,1,,yes,49,,yes,,115.37,2698.62,no,no,dsl,yes,no,,,,,yes
CUST0005,Dr. Janice Berg,female,1,no,yes,47,,no,,67.59,5180.88,no,,,,,no,yes,,no,yes
CUST0006,Daniel Russell MD,female,0,no,,58,month-to-month,,electronic check,67.59,1000.5,no,yes,fiber optic,,no,yes,yes,,no,yes
CUST0007,Daniel Bradshaw,female,0,yes,yes,31,month to month,yes,bank transfer,62.59,1000.5,yes,no,dsl,,no,yes,,,no,yes
CUST0008,Willie Walton,male,1,no,no,2,month-to-month,no,mailed check,67.59,1000.5,,yes,no,no,yes,no,yes,no,,yes
CUST0009,Patricia Lopez,,1,no,,66,month-to-month,yes,mailed check,67.59,1000.5,no,yes,none,,yes,yes,,,no,yes
CUST0010,William Munoz,female,0,yes,,19,month to month,yes,bank transfer,67.59,1000.5,no,yes,no,yes,no,yes,,,no,yes
CUST0011,Jamie Wallace,female,1,no,,59,month to month,no,mailed check,67.59,1000.5,no,,fiber optic,,no,,yes,,,no
CUST0012,Michael Thomas,female,1,yes,yes,60,month-to-month,,electronic check,67.59,1000.5,no,yes,fiber optic,no,,yes,no,,yes,yes
CUST0013,Jacqueline Cruz,male,1,no,,67,month to month,no,mailed check,67.59,1000.5,yes,no,no,yes,no,,,yes,no,
CUST0014,Sherry George,,1,yes,no,7,month-to-month,no,mailed check,67.59,459.0,yes,no,no,,yes,no,yes,,,no
CUST0015,Jennifer Garcia,male,1,,,31,,no,,69.88,1000.5,no,yes,no,no,yes,,no,,yes,no
CUST0016,Jody Ellis,,1,no,yes,1,one year,yes,,67.59,1000.5,yes,no,dsl,yes,,,yes,yes,,no
CUST0017,Ricardo Steele,male,1,yes,,5,,no,mailed check,67.59,515.69,no,no,,yes,yes,,no,,yes,no
CUST0018,Samantha Blake,male,0,yes,yes,20,two year,yes,electronic check,67.59,1000.5,yes,no,,no,yes,yes,,,yes,
CUST0019,Mr. Duane Rogers DDS,,1,no,,11,month-to-month,,electronic check,67.59,1000.5,yes,,,,no,,no,,,no
CUST0020,Jennifer Carter,male,0,yes,yes,11,month to month,yes,electronic check,67.59,1000.5,,,no,no,no,,no,,,no
CUST0021,Steven Hogan,,0,,yes,67,month to month,no,,67.59,1000.5,no,,fiber optic,yes,yes,no,,,yes,no
CUST0022,Jeremy Smith,male,1,yes,yes,72,two year,yes,credit card (automatic),67.59,8401.12,yes,,fiber optic,no,,,yes,no,yes,no
CUST0023,Michael Johnson,male,0,no,,62,month-to-month,yes,,34.66,4935.08,no,,fiber optic,,,yes,,,,
CUST0024,Cynthia Holloway,male,0,,yes,0,month to month,yes,electronic check,67.59,1000.5,no,yes,none,,yes,no,yes,,yes,yes
CUST0025,Isaac Ray,female,0,no,,2,one year,yes,electronic check,67.59,1000.5,,yes,dsl,no,yes,,yes,,,yes
CUST0026,Joshua Porter,male,1,no,no,38,one year,yes,,67.59,1000.5,no,,,yes,yes,no,,,,
CUST0027,Emily Trevino,female,1,no,yes,15,one year,no,,84.57,1619.09,no,no,none,,no,no,,yes,,no
CUST0028,Darin Rodriguez,female,0,,yes,34,two year,yes,electronic check,67.59,2997.92,no,no,none,yes,yes,,yes,,no,
CUST0029,Cynthia Velasquez,female,0,,yes,57,month-to-month,no,mailed check,67.59,1000.5,no,,none,yes,yes,no,yes,,,no
CUST0030,Paul Evans,female,0,yes,yes,46,two year,yes,credit card (automatic),31.2,2531.06,no,no,fiber optic,,,,no,yes,,no
CUST0031,Sarah Thompson,male,0,no,yes,36,month-to-month,no,electronic check,67.59,1000.5,yes,no,dsl,yes,no,no,no,,,
CUST0032,Alan Patterson,male,0,no,,18,two year,yes,mailed check,67.42,1000.5,no,no,dsl,,no,,yes,yes,yes,no
CUST0033,Marcus Williams,,1,no,,56,two year,,credit card (automatic),67.59,3232.8,yes,no,fiber optic,,no,no,,yes,,
CUST0034,Sarah Shaw,male,0,no,no,36,two year,no,electronic check,112.43,1000.5,yes,no,dsl,,yes,no,yes,yes,,no
CUST0035,Leah Newman,male,1,yes,no,58,one year,yes,bank transfer,67.59,1000.5,,no,fiber optic,yes,no,yes,yes,yes,no,no
CUST0036,Johnathan Russo,,0,no,yes,14,month-to-month,,,31.9,1000.5,no,no,none,,no,yes,yes,yes,,no
CUST0037,Ronald Gomez,,1,yes,,6,month-to-month,no,mailed check,100.64,1000.5,yes,,fiber optic,no,,yes,no,yes,,
CUST0038,Juan Booker,female,0,yes,yes,20,two year,,bank transfer,67.59,1000.5,no,no,,yes,,no,,,,
CUST0039,Peter Haynes,male,0,yes,yes,17,one year,no,mailed check,67.59,1000.5,no,no,fiber optic,yes,,yes,,yes,no,no
CUST0040,Austin Duncan,female,0,yes,,7,two year,yes,mailed check,71.87,1000.5,no,no,,no,no,,no,no,yes,yes
CUST0041,Michelle Mitchell,female,1,yes,,45,month-to-month,yes,bank transfer,67.59,4057.73,,no,none,yes,yes,no,no,yes,,
CUST0042,Carolyn Ramsey,female,1,yes,yes,21,one year,no,mailed check,48.71,1000.5,yes,no,none,,,yes,no,,,yes
CUST0043,Ms. Megan Parrish MD,female,0,yes,no,27,month-to-month,no,mailed check,67.59,1000.5,yes,yes,none,,,,,yes,,no
CUST0044,Shane Newman,female,0,no,,51,month to month,no,,67.59,3856.02,,no,none,no,no,yes,yes,,,
CUST0045,Angela Evans,female,0,no,no,48,month to month,no,credit card (automatic),67.59,1000.5,yes,,dsl,,,,,,yes,no
CUST0046,Catherine Brown,male,1,no,,62,month to month,,electronic check,44.53,1000.5,,,no,no,yes,,,,no,no
CUST0047,Joseph Brown,female,1,no,,44,one year,no,electronic check,67.59,1000.5,no,no,,no,yes,yes,,no,,
CUST0048,Julia Stevenson,male,1,yes,no,33,month-to-month,,electronic check,67.59,1000.5,,no,no,no,yes,no,no,,,yes
CUST0049,Angela Smith,male,1,yes,,63,,,,104.7,1000.5,,no,none,yes,,,,,no,yes
CUST0050,Joel Freeman,female,0,no,yes,25,month-to-month,no,bank transfer,31.68,1000.5,yes,,,,no,yes,no,,no,yes
CUST0051,Sergio Walker,male,0,no,,5,month to month,,bank transfer,39.83,154.05,yes,no,fiber optic,yes,,,yes,yes,no,yes
CUST0052,Anthony Rowe,,1,,,37,month to month,yes,credit card (automatic),67.59,1319.69,,no,fiber optic,no,,no,yes,no,,yes
CUST0053,Alan White,female,1,yes,,18,month to month,yes,electronic check,67.59,1000.5,yes,no,none,,no,no,,no,no,
CUST0054,Melissa Cline,male,0,yes,,49,one year,yes,credit card (automatic),52.64,1000.5,,no,none,no,yes,yes,yes,no,,
CUST0055,Alexander Jackson,female,1,no,no,26,two year,,credit card (automatic),112.68,2037.04,no,no,fiber optic,yes,yes,no,,yes,,
CUST0056,Allison Ramirez,female,1,no,,60,month to month,no,credit card (automatic),67.59,1000.5,no,yes,,no,,no,yes,,,
CUST0057,Sylvia Gordon,female,1,yes,yes,56,one year,yes,credit card (automatic),67.59,1000.5,yes,yes,dsl,,yes,yes,,no,,
CUST0058,Scott Nash,male,1,yes,yes,68,two year,yes,,67.59,1000.5,no,yes,fiber optic,no,,,yes,,,no
CUST0059,Lindsey Garza,female,1,yes,yes,19,month-to-month,yes,mailed check,67.59,1000.5,yes,yes,no,no,,,,yes,,yes
CUST0060,Bradley Sellers,male,0,no,no,3,month-to-month,yes,electronic check,67.59,1000.5,,no,,yes,,no,,,,
CUST0061,Joseph Jones,female,1,no,yes,23,month-to-month,,bank transfer,67.59,1472.23,,yes,no,no,yes,no,,no,,no
CUST0062,Teresa Rodriguez,male,1,,,18,one year,no,electronic check,67.59,1000.5,no,,none,no,no,no,yes,no,,no
CUST0063,Jeffrey Hogan,male,1,yes,no,40,one year,,mailed check,67.59,1000.5,no,no,no,yes,yes,,,yes,,
CUST0064,Betty Martin,,1,,,19,one year,yes,credit card (automatic),94.7,614.76,no,no,,no,yes,yes,,,no,yes
CUST0065,Christian Guzman,male,1,,no,27,one year,no,bank transfer,67.59,1000.5,no,,none,no,no,no,,no,yes,no
CUST0066,Angela Kennedy,male,0,no,yes,12,month-to-month,yes,bank transfer,67.59,762.83,no,no,,no,,no,no,,yes,
CUST0067,Megan Howell,male,0,no,,20,month to month,yes,bank transfer,67.59,1000.5,no,no,no,no,yes,,no,yes,yes,
CUST0068,Ryan Bailey,female,1,no,,32,month to month,no,electronic check,67.59,1211.69,,,,,no,,yes,,yes,
CUST0069,Adam Wilkinson,,0,yes,,18,one year,no,,67.59,1000.5,yes,no,dsl,yes,,yes,yes,,,yes
CUST0070,Gregory Hubbard,male,1,yes,no,32,,yes,electronic check,67.59,1000.5,no,,no,yes,no,yes,no,yes,yes,
CUST0071,Amy Dyer,male,0,yes,,57,two year,no,mailed check,67.59,1000.5,no,no,none,,yes,yes,,yes,yes,yes
CUST0072,Michael Ramirez,,1,no,,22,month to month,yes,mailed check,78.95,1000.5,,no,fiber optic,yes,yes,no,,,,yes
CUST0073,Andrew Davis,male,1,no,no,47,month-to-month,no,,67.59,1000.5,yes,no,no,,,no,yes,,no,yes
CUST0074,Miss Andrea Jones,male,1,no,no,12,one year,,credit card (automatic),44.59,1000.5,yes,yes,no,,yes,,no,no,,no
CUST0075,Kevin Williamson,male,0,yes,yes,15,month-to-month,yes,bank transfer,87.8,1000.5,,no,,,yes,yes,,no,no,no
CUST0076,Samuel Clark,female,0,yes,,52,month-to-month,yes,credit card (automatic),67.59,1000.5,no,no,no,,,,,yes,yes,yes
CUST0077,Sandra Sanchez,male,0,no,no,65,month-to-month,yes,electronic check,67.59,1000.5,no,no,fiber optic,no,,no,no,,no,no
CUST0078,Dominique Shaw,,1,,,6,one year,no,bank transfer,67.59,131.74,no,no,none,yes,no,yes,no,no,,
CUST0079,Edward Warner,female,0,no,no,3,month to month,no,mailed check,67.59,109.9,,no,none,yes,yes,no,no,,yes,yes
CUST0080,Kelsey Smith,female,0,yes,,30,,yes,bank transfer,67.59,1000.5,no,no,no,,yes,yes,yes,,yes,no
CUST0081,Cynthia Salinas,female,1,,yes,37,month to month,yes,,100.96,1000.5,no,yes,none,,yes,yes,no,no,,no
CUST0082,Tara Edwards,male,0,no,,27,month-to-month,no,electronic check,67.59,1000.5,,no,fiber optic,no,yes,no,no,,,no
CUST0083,Jeffrey Hall,female,0,no,yes,24,month to month,no,electronic check,67.59,1000.5,,no,dsl,,yes,no,no,yes,,no
CUST0084,Brian Carpenter,female,0,yes,yes,59,month to month,,,63.77,1000.5,yes,no,,no,no,no,,,no,yes
CUST0085,Shawn Nelson,male,1,,,39,,no,mailed check,24.49,1000.5,no,yes,,yes,no,,yes,no,,
CUST0086,Carla Olson,female,1,yes,no,31,month-to-month,no,electronic check,67.59,1000.5,yes,no,none,no,no,no,,,,no
CUST0087,Joshua Kelley,male,0,,yes,59,two year,no,bank transfer,18.35,1000.5,no,no,none,no,no,no,yes,no,,yes
CUST0088,Jeremy Mccarthy,female,0,no,no,11,month to month,yes,electronic check,67.59,1057.1,yes,,no,,no,no,,yes,,
CUST0089,Tabitha Johnson,male,0,,no,10,two year,yes,,24.76,1000.5,,,,yes,no,,no,no,no,
