customer_id,customer_name,gender,senior_citizen,partner,dependents,tenure,contract,paperless_billing,payment_method,monthly_charges,total_charges,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
CUST0001,John doe,male,0,yes,no,64,month to month,Yes,Electronic Check,,,No,no phone service,DSL,,,,,,,yes
CUST0002,Lauren Vaughan,female,1,,,25,month to month,YES,,,,No,,NO INTERNET,,Yes,,,,,
CUST0003,Mrs. Elizabeth Turner DDS,MALE,1,,No,61,One year,No,Electronic Check,twenty,,,no phone service,NO INTERNET,,,No,,,No,
CUST0004,Tiffany Johnson,FEMALE,1,,Yes,49,,YES,,115.37,2698.62,No,No,DSL,Yes,No,,,,,Yes
CUST0005,Dr. Janice Berg,FEMALE,1,NO,Yes,47,,No,,,5180.88,No,,,,,No,Yes,,No,yes
CUST0006,Daniel Russell MD,female,0,No,,58,Month-to-month,,Electronic Check,,,No,Yes,Fiber optic,,No,Yes,Yes,,No,yes
CUST0007,Daniel Bradshaw,female,0,YES,Yes,31,month to month,YES,Bank Transfer,62.59,,Yes,no phone service,DSL,,No,Yes,,,No,Yes
CUST0008,Willie Walton,Male,1,NO,No,2,Month-to-month,No,Mailed check,,,,Yes,No,No,Yes,No,Yes,No,,yes
CUST0009,Patricia Lopez,,1,NO,,66,Month-to-month,YES,Mailed check,twenty,,No,Yes,NO INTERNET,,Yes,Yes,,,No,Yes
CUST0010,William Munoz,female,0,Yes,,19,month to month,Yes,Bank Transfer,,,No,Yes,No,Yes,No,Yes,,,No,yes
CUST0011,Jamie Wallace,female,1,No,,59,month to month,NO,Mailed check,,,No,,Fiber optic,,No,,Yes,,,No
CUST0012,Michael Thomas,female,1,Yes,Yes,60,Month-to-month,,Electronic Check,,,No,Yes,Fiber optic,No,,Yes,No,,Yes,Yes
CUST0013,Jacqueline Cruz,Male,1,No,,67,month to month,NO,Mailed check,,"1,000.50",Yes,No,No,Yes,No,,,Yes,No,
CUST0014,Sherry George,,1,Yes,No,7,Month-to-month,No,Mailed check,,459.00,Yes,No,No,,Yes,No,Yes,,,no
CUST0015,Jennifer Garcia,Male,1,,,31,,No,,69.88,"1,000.50",No,Yes,No,No,Yes,,No,,Yes,no
CUST0016,Jody Ellis,,1,NO,Yes,1,One year,YES,,,,Yes,no phone service,DSL,Yes,,,Yes,Yes,,no
CUST0017,Ricardo Steele,MALE,1,Yes,,5,,No,Mailed check,twenty,515.69,No,No,,Yes,Yes,,No,,Yes,No
CUST0018,Samantha Blake,Male,0,Yes,Yes,20,Two Year,Yes,Electronic Check,,"1,000.50",Yes,no phone service,,No,Yes,Yes,,,Yes,
CUST0019,Mr. Duane Rogers DDS,,1,NO,,11,Month-to-month,,Electronic Check,,,Yes,,,,No,,No,,,No
CUST0020,Jennifer Carter,Male,0,YES,Yes,11,month to month,YES,Electronic Check,twenty,,,,No,No,No,,No,,,No
CUST0021,Steven Hogan,,0,,Yes,67,month to month,NO,,,,No,,Fiber optic,Yes,Yes,No,,,Yes,No
CUST0022,Jeremy Smith,MALE,1,YES,Yes,72,Two Year,Yes,Credit card (automatic),,8401.12,Yes,,Fiber optic,No,,,Yes,No,Yes,No
CUST0023,Michael Johnson,MALE,0,NO,,62,Month-to-month,Yes,,34.66,4935.08,No,,Fiber optic,,,Yes,,,,
CUST0024,Cynthia Holloway,Male,0,,Yes,0,month to month,Yes,Electronic Check,,"1,000.50",No,Yes,NO INTERNET,,Yes,No,Yes,,Yes,Yes
